id,sku,item_name,item_category,brand,bottle_size_ml,unit_type,units_per_case,location_name,location_stock,location_cost_price,location_selling_price,location_mrp,global_cost_price,global_selling_price,global_mrp,global_stock,tax_rate,reorder_level,reorder_qty,cogs_account_code,income_account_code,inventory_account_code
b6533a14-377b-4d29-8d77-fa4d2fe883ee,MU-004,Mustang Full,Whiskey,Mustang,750,Bottle,12,House,0,1029.17,1265,1100,1029.17,1100,1100,17,0,6,12,5100,4100,1200
c3973817-9b13-4a7a-888c-ad920161c5ea,MU-005,Mustang Qtr,Whiskey,Mustang,180,Bottle,48,Gokarna,45,257.29,280,280,257.29,280,280,45,0,10,48,5100,4100,1200
c3973817-9b13-4a7a-888c-ad920161c5ea,MU-005,Mustang Qtr,Whiskey,Mustang,180,Bottle,48,House,0,257.29,320,280,257.29,280,280,45,0,10,48,5100,4100,1200
c1cac95d-404c-424f-8e9d-8d74198e7b9e,NE-001,Nepal Ice 330,Beer,Nepal Ice,330,Bottle,24,Gokarna,0,156.25,180,180,156.25,180,180,0,0,12,120,5100,4100,1200
c1cac95d-404c-424f-8e9d-8d74198e7b9e,NE-001,Nepal Ice 330,Beer,Nepal Ice,330,Bottle,24,House,0,156.25,205,180,156.25,180,180,0,0,12,120,5100,4100,1200
1a8166b8-3107-444c-9634-2f27df10e913,NE-002,Nepal Ice 650,Beer,Nepal Ice,650,PCS,12,Gokarna,51,306.25,340,340,306.25,340,340,51,0,12,60,5100,4100,1200
1a8166b8-3107-444c-9634-2f27df10e913,NE-002,Nepal Ice 650,Beer,Nepal Ice,650,PCS,12,House,0,306.25,390,340,306.25,340,340,51,0,12,60,5100,4100,1200
2ecdd9cf-3a70-4f85-9562-c3c9d9b1cbc5,OC-001,OCB,Cigaratte,,0,PCS,12,Gokarna,23,68.75,130,130,68.75,130,130,23,0,10,5,5100,4100,1200
2ecdd9cf-3a70-4f85-9562-c3c9d9b1cbc5,OC-001,OCB,Cigaratte,,0,PCS,12,House,0,68.75,150,130,68.75,130,130,23,0,10,5,5100,4100,1200
3d0e5228-5462-4ae9-b843-51b352361479,OD-001,OD 350 ml,Whiskey,Old Durbar,350,PCS,24,Gokarna,9,1341.75,1450,1450,1341.75,1450,1450,9,0,5,12,5100,4100,1200
